"pattern","file","wcag_criterion","severity","category","summary","recommendation","status"
"huxDialog","src/components/demos/Dialog.astro","2.5.5 Target Size","Minor","target-size","Icon-only close button wrapped only a 20px icon with no padding (~20x20 target)","Add padding (p-1.5) to reach a ~44px target","Fixed"
"huxDialog","src/content/patterns/dialog.mdx","4.1.2 Name Role Value","Major","name-role-value","Accessible name depends on the optional dialogId; without it aria-labelledby resolves to null and the dialog is unnamed","Require dialogId or add an aria-label fallback; documented in Accessibility Notes","Fixed"
"huxDialog","src/components/demos/Dialog.astro","1.3.1 Info and Relationships","Minor","semantics","Dialog body copy was not programmatically associated as the dialog description","Add dialogDescriptionId and wire aria-describedby to the body text","Fixed"
"huxDialog","src/components/demos/Dialog.astro","1.3.1 Info and Relationships","Minor","headings","Dialog title used h3 in the demo but h2 in docs, and is teleported out of the heading outline","Standardise on h2","Fixed"
"huxDialog","src/components/demos/Dialog.astro","2.4.3 Focus Order","Minor","focus-order","x-trap sets initial focus to the first focusable control (close X); for a destructive confirm dialog initial focus on the least destructive action is safer","Consider setting initial focus to Cancel for destructive confirmations","Open"
"huxCombobox","src/components/demos/Combobox.astro","4.1.2 Name Role Value","Major","name-role-value","Multi-select mode does not set aria-multiselectable on the listbox even though acceptMultiple is supported and aria-selected is set per option","Bind aria-multiselectable=true when acceptMultiple is enabled and document it","Fixed"
"huxCombobox","src/components/demos/Combobox.astro","2.4.3 Focus Order","Minor","focus-order","Option buttons lack tabindex=-1 so they can enter the tab sequence; the activedescendant pattern should keep real focus on the input","Add tabindex=-1 to option buttons (matches CommandPalette)","Fixed"
"huxCombobox","src/content/patterns/combobox.mdx","2.4.3 Focus Order","Minor","focus-order","Quick Start option buttons lack tabindex=-1","Add tabindex=-1 to the option buttons in the snippet","Fixed"
"huxCombobox","src/components/demos/Combobox.astro","1.3.1 Info and Relationships","Minor","semantics","Listbox popup has no accessible name","Add an aria-label to the role=listbox element","Fixed"
"huxDropdown","src/components/patterns/huxDropdown.js","4.1.2 Name Role Value","Minor","keyboard","Menu does not implement type-ahead (typing a character to move focus to a matching item), a WAI-ARIA menu recommendation","Add first-character type-ahead focus movement","Fixed"
"huxDropdown","src/content/patterns/dropdown.mdx","1.3.1 Info and Relationships","Minor","semantics","Nested menu items are flattened into one role=menu list with visual indentation; the parent/child relationship is conveyed to screen readers by aria-label only","Documented mitigation exists; for deep menus consider a true nested role=menu with aria-haspopup","By design"
"huxCommandPalette","src/components/demos/CommandPalette.astro","1.3.1 Info and Relationships","Minor","headings","Composed dialog title uses sr-only h3 while other dialogs standardise on h2 and it is teleported out of the outline","Use h2 for the dialog title","Fixed"
"huxCommandPalette","src/components/demos/CommandPalette.astro","4.1.3 Status Messages","Minor","status-messages","Filtered result count is not announced to screen readers via a live region","Add an aria-live=polite status announcing the number of matches","Fixed"
"huxInlineEditor","src/components/demos/InlineEditor.astro","2.4.6 Headings and Labels","Major","labels","Six inline-editor trigger buttons all expose the same accessible name Edit; the field name is a nearby unassociated paragraph so screen reader users cannot tell them apart","Give each Edit button a distinguishing accessible name (aria-label like Edit display name, or aria-labelledby referencing the field label)","Fixed"
"huxInlineEditor","src/components/demos/InlineEditor.astro","4.1.3 Status Messages","Minor","status-messages","Committing an edit updates the displayed value with no polite announcement","Add an aria-live=polite region announcing the saved value or a Saved status","Fixed"
"huxInlineEditor","src/components/patterns/huxInlineEditor.js","2.1.2 No Keyboard Trap","Minor","keyboard","While editing, Tab is trapped in the editor and the only exits are Enter (commit) or Escape (revert); a user cannot Tab out without committing or reverting","Keep the Enter/Escape exit method communicated near the field (the demo does via help text); document as a required affordance","By design"
"huxCopy","src/components/demos/CopyToClipboard.astro","3.3.1 Error Identification","Minor","error-feedback","Copy failures (insecure context or blocked clipboard) are logged to console only; users get no visible or announced feedback","Surface a failure state (visible text and aria-live) when copyToClipboard cannot write","Fixed"
"huxTabs","src/components/demos/Tabs.astro","2.4.6 Headings and Labels","Minor","labels","The coupled and decoupled tablists on the demo page share the same aria-label Account settings, making the two tab groups indistinguishable to screen reader users","Give each tablist a distinct aria-label","Fixed"
"huxTabs","src/components/demos/Tabs.astro","4.1.2 Name Role Value","Minor","keyboard","Arrow-key navigation uses automatic activation (focus and selection move together); for panels with expensive content manual activation is recommended","Offer or document manual activation (move focus on arrows, activate on Enter/Space) for heavy panels","By design"
"huxStepper","src/components/demos/Stepper.astro","4.1.3 Status Messages","Minor","status-messages","Step panels use aria-live=polite but are toggled with x-show (visibility only); changing visibility does not reliably trigger live-region announcements of the new step","Announce the active step via a single dedicated visually-hidden aria-live region updated on step change","Fixed"
"huxResizable","src/components/demos/Resizable.astro","4.1.2 Name Role Value","Major","name-role-value","role=slider binds aria-valuemax to maxWidth which defaults to null, so the required aria-valuemax property is absent whenever maxWidth is unset (the demo and Quick Start both leave it unset)","Derive a numeric max (last breakpoint or parent width) for aria-valuemax, or require maxWidth","Fixed"
"huxResizable","src/components/demos/Resizable.astro","4.1.2 Name Role Value","Minor","state","Active breakpoint jump button is indicated by background colour only with no programmatic selected state","Add aria-pressed (or aria-current) to the active breakpoint button","Fixed"
"huxScrollSpy","src/components/demos/ScrollSpy.astro","2.1.1 Keyboard","Minor","keyboard","The scrollable content panel (x-ref tocContent) is not keyboard focusable and has no role or name, so keyboard-only users cannot scroll it directly and can only jump via TOC buttons","Add tabindex=0 and role=region with an accessible name to the scroll container","Open"
"huxInfiniteScroll","src/components/demos/InfiniteScroll.astro","2.1.1 Keyboard","Major","keyboard","The scrollable feed has no focusable items and no tabindex, so keyboard-only users cannot scroll it to trigger load-more, and the demo provides no Load more button","Make the container keyboard focusable (tabindex=0) or add a visible Load more button (the docs recommend the button but the demo omits it)","Open"
"huxInfiniteScroll","src/components/demos/InfiniteScroll.astro","4.1.3 Status Messages","Minor","status-messages","The end-of-content message All posts loaded is not in an aria-live region so completion is not announced","Add aria-live=polite to the completion message","Open"
"huxInfiniteScroll","src/components/demos/InfiniteScroll.astro","3.3.1 Error Identification","Minor","error-feedback","Fetch failures (markFailed) reset loading with no user-facing or announced error","Show an announced error state with a retry affordance on failure","Open"
